eclat-borgelt_all bmspos.dat 3000 5.41 5.20 0.16 127186855 34618699 604 6230
LCM_maximal chess.dat 3000 0.04 0.02 0.00 429552 273488 1872 11
eclat-borgelt_closed connect.dat 60000 1.50 1.48 0.02 187004844 12495096 1004 4373
MAFIA_maximal bmspos.dat 500 18.82 18.44 0.25 187503600 132738676 1592 0
eclat-borgelt_closed bms2.dat 60 8.81 8.67 0.12 28854682 6907914 1248 39532
LCM_maximal accidents.dat 136000 11.09 9.66 0.81 1010946400 103263368 3632 749
fpgrowth-tiny_all chess.dat 800 816.87 769.30 47.04 7458862476 2226156 12504 98037735
aim_all accidents.dat 68000 20.56 20.47 0.08 65488560 35222708 2376 891801
apriori-borgelt_all retail.dat 200 0.92 0.85 0.05 9250597 9250233 744 2192
apriori-bodon_all bms2.dat 20 19.53 19.40 0.07 44604648 16499960 4220 1268130
fp-zhu_all retail.dat 5 11.15 10.06 1.08 17649239772 259722104 648 1506775
fp-zhu_maximal bmspos.dat 500 6.61 6.35 0.18 331668209 39510912 1224 32645
LCM_all bms2.dat 30 0.75 0.71 0.03 25538910 6153550 8880 388524
apriori-borgelt_closed bms1.dat 80 0.21 0.17 0.02 1982672 1982308 9128 1858
apriori-borgelt_closed kosarak.dat 8000 7.90 7.61 0.16 49192627 49192263 1960 576
fpgrowth-tiny_all pumsb.dat 37500 11.22 10.90 0.19 4802107452 730316 8824 444668
fp-zhu_all bmspos.dat 4000 3.28 3.03 0.06 29530669 28397845 456 3565
MAFIA_all bmspos.dat 200 274.19 273.22 0.74 242257276 187610880 664 1
apriori-bodon_all bms2.dat 90 0.89 0.83 0.03 5631368 4801096 3068 31510
eclat-borgelt_closed pumsb.dat 45000 1.76 1.27 0.41 19004075 15204771 604 686
ABS_maximal kosarak.dat 2000 20.19 19.84 0.15 75258095 64927481 3496 2858
apriori-borgelt_maximal bms2.dat 50 1.36 1.32 0.03 13776012 12771116 1640 6946
MAFIA_maximal connect.dat 50000 1.23 1.10 0.07 72578868 12580216 1384 0
fp-zhu_maximal accidents.dat 272000 2.95 2.72 0.09 846736 815871 664 8
MAFIA_all bms2.dat 20 134.36 133.76 0.55 150374072 133146416 664 1
ct-pro_all chess.dat 2500 0.09 0.07 0.00 611102 347562 2200 11494
apriori-bodon_all bms2.dat 70 1.49 1.49 0.01 7455508 5865080 3260 61890
ABS_maximal bms1.dat 100 0.23 0.20 0.01 2128656 1938448 8808 670
ABS_maximal pumsb-star.dat 20000 2.30 2.25 0.05 13748433 11671407 8024 81
eclat-lst_all pumsb.dat 30000 29.09 28.90 0.19 1904527768 28916972 1144 16029970
DCI-Closed_closed pumsb-star.dat 2500 139.86 139.51 0.22 30542577 18548530 1272 8968736
fp-zhu_closed retail.dat 10 5.88 5.54 0.30 399548296 164226258 824 159396
fp-zhu_all webdocs.dat 300000 144.26 128.42 6.68 533190655 478465243 552 3468
LCM_maximal mushroom.dat 200 0.70 0.61 0.07 99851284 4548812 2928 3111
MAFIA_maximal pumsb-star.dat 25000 1.15 0.95 0.07 58855688 12368416 1080 0
kDCI_all accidents.dat 102000 13.41 12.82 0.38 7614066 3382088 1320 1
ABS_maximal mushroom.dat 1500 1.18 1.15 0.01 4342346 1965790 7576 188
apriori-borgelt_closed chess.dat 1200 729.83 728.40 0.55 180339635 177101771 2472 1892003
